Session_ID,Flavor,Arm,Correct,CorrectBool
1,C,8,Y,1
1,C,3,N,0
1,C,3,N,0
1,C,1,N,0
1,C,2,N,0
1,C,8,Y,1
1,S,3,N,0
1,S,8,N,0
1,S,3,N,0
1,S,8,N,0
1,S,1,N,0
1,S,4,N,0
1,S,3,N,0
1,C,3,N,0
1,C,8,Y,1
1,S,8,N,0
1,C,1,N,0
1,S,4,N,0
1,S,1,N,0
1,S,3,N,0
1,S,8,N,0
1,S,4,N,0
1,C,3,N,0
1,C,4,N,0
1,C,8,Y,1
1,C,3,N,0
1,S,8,N,0
1,C,3,N,0
2,S,8,N,0
2,S,3,N,0
2,S,8,N,0
2,S,8,N,0
2,S,4,N,0
2,S,1,N,0
2,C,1,N,0
2,C,8,Y,1
2,C,2,N,0
2,C,7,N,0
2,C,8,Y,1
2,C,8,Y,1
2,C,8,Y,1
2,S,1,N,0
2,S,8,N,0
2,S,4,N,0
2,C,8,Y,1
2,S,8,N,0
2,S,8,N,0
2,C,8,Y,1
2,C,8,Y,1
2,S,8,N,0
2,S,8,N,0
2,C,8,Y,1
2,S,1,N,0
2,S,7,N,0
2,C,8,Y,1
2,C,1,N,0
2,C,2,N,0
2,S,7,N,0
3,C,1,N,0
3,C,1,N,0
3,C,8,Y,1
3,C,2,N,0
3,C,8,Y,1
3,C,2,N,0
3,S,8,N,0
3,S,8,N,0
3,S,8,N,0
3,S,8,N,0
3,S,1,N,0
3,S,8,N,0
3,C,8,Y,1
3,S,8,N,0
3,C,2,N,0
3,C,8,Y,1
3,S,8,N,0
3,C,8,Y,1
3,C,8,Y,1
3,S,8,N,0
3,C,7,N,0
3,S,8,N,0
3,C,8,Y,1
3,S,8,N,0
3,C,8,Y,1
3,C,8,Y,1
3,C,8,Y,1
3,S,8,N,0
3,S,8,N,0
3,C,8,Y,1
3,C,8,Y,1
3,S,8,N,0
3,C,8,Y,1
3,S,1,N,0
3,C,7,N,0
3,S,8,N,0
3,S,8,N,0
3,S,8,N,0
3,C,8,Y,1
3,C,8,Y,1
3,S,8,N,0
3,S,8,N,0
3,C,8,Y,1
3,S,1,N,0
3,C,8,Y,1
3,S,7,N,0
3,C,8,Y,1
3,S,8,N,0
3,S,4,N,0
3,S,8,N,0
4,S,2,N,0
4,S,8,N,0
4,S,8,N,0
4,S,8,N,0
4,S,7,N,0
4,S,8,N,0
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,1,N,0
4,S,7,N,0
4,S,8,N,0
4,S,8,N,0
4,C,8,Y,1
4,S,8,N,0
4,C,8,Y,1
4,S,8,N,0
4,S,1,N,0
4,S,8,N,0
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,S,8,N,0
4,S,1,N,0
4,C,8,Y,1
4,S,8,N,0
4,S,8,N,0
4,S,8,N,0
4,C,8,Y,1
4,S,8,N,0
4,C,8,Y,1
4,C,1,N,0
4,S,8,N,0
4,C,8,Y,1
4,S,8,N,0
4,S,8,N,0
4,S,8,N,0
4,C,8,Y,1
4,S,8,N,0
4,C,8,Y,1
4,S,8,N,0
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,S,8,N,0
4,S,8,N,0
4,S,8,N,0
4,S,5,Y,1
4,C,8,Y,1
4,S,8,N,0
4,S,8,N,0
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,S,8,N,0
4,S,1,N,0
4,S,8,N,0
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,C,8,Y,1
4,S,8,N,0
4,C,8,Y,1
5,C,5,N,0
5,C,8,Y,1
5,C,8,Y,1
5,C,8,Y,1
5,C,8,Y,1
5,C,8,Y,1
5,S,8,N,0
5,S,8,N,0
5,S,3,N,0
5,S,8,N,0
5,S,8,N,0
5,S,1,N,0
5,S,5,Y,1
5,S,8,N,0
5,S,4,N,0
5,C,8,Y,1
5,C,8,Y,1
5,C,8,Y,1
5,S,8,N,0
5,C,8,Y,1
5,C,8,Y,1
5,S,3,N,0
5,S,8,N,0
5,S,4,N,0
5,C,8,Y,1
5,C,8,Y,1
5,S,5,Y,1
5,C,8,Y,1
5,C,7,N,0
5,C,8,Y,1
5,C,8,Y,1
5,C,8,Y,1
5,C,8,Y,1
5,S,4,N,0
5,C,8,Y,1
5,C,8,Y,1
5,S,1,N,0
5,S,3,N,0
5,C,8,Y,1
5,S,2,N,0
5,C,8,Y,1
5,C,8,Y,1
5,S,3,N,0
5,S,8,N,0
5,C,8,Y,1
5,S,8,N,0
5,S,3,N,0
5,S,8,N,0
5,C,8,Y,1
5,S,4,N,0
5,S,8,N,0
5,S,4,N,0
5,C,8,Y,1
5,C,8,Y,1
5,S,8,N,0
5,C,8,Y,1
5,S,4,N,0
5,C,8,Y,1
5,C,1,N,0
5,S,8,N,0
5,S,4,N,0
5,S,4,N,0
5,C,8,Y,1
5,C,8,Y,1
5,S,4,N,0
5,S,8,N,0
5,S,2,N,0
5,S,5,Y,1
5,C,8,Y,1
5,C,8,Y,1
6,S,8,N,0
6,S,4,N,0
6,S,8,N,0
6,S,1,N,0
6,S,3,N,0
6,S,1,N,0
6,C,7,N,0
6,C,3,N,0
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,S,8,N,0
6,C,8,Y,1
6,S,8,N,0
6,C,8,Y,1
6,S,8,N,0
6,C,8,Y,1
6,C,8,Y,1
6,S,8,N,0
6,S,3,N,0
6,S,8,N,0
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,S,8,N,0
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,S,1,N,0
6,S,7,N,0
6,S,8,N,0
6,C,8,Y,1
6,S,8,N,0
6,S,4,N,0
6,S,3,N,0
6,S,8,N,0
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,S,8,N,0
6,C,8,Y,1
6,C,8,Y,1
6,S,8,N,0
6,S,8,N,0
6,C,8,Y,1
6,S,8,N,0
6,S,8,N,0
6,C,7,N,0
6,S,1,N,0
6,C,8,Y,1
6,S,8,N,0
6,S,4,N,0
6,S,8,N,0
6,S,3,N,0
6,S,8,N,0
6,C,8,Y,1
6,S,1,N,0
6,C,8,Y,1
6,C,8,Y,1
6,C,8,Y,1
6,S,8,N,0
6,S,7,N,0
6,C,8,Y,1
6,S,8,N,0
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,S,1,N,0
7,S,4,N,0
7,S,8,N,0
7,S,8,N,0
7,S,5,Y,1
7,S,8,N,0
7,S,4,N,0
7,S,8,N,0
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,S,4,N,0
7,S,8,N,0
7,S,1,N,0
7,S,4,N,0
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,S,8,N,0
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,S,1,N,0
7,S,4,N,0
7,C,8,Y,1
7,C,8,Y,1
7,C,8,Y,1
7,S,4,N,0
7,C,8,Y,1
7,C,8,Y,1
7,S,2,N,0
7,S,8,N,0
7,S,8,N,0
7,C,8,Y,1
7,C,8,Y,1
7,S,4,N,0
